request_id,request_type,source_family,expected_input,target_output_path,blocker_reason,next_action
manual:data/staging/processed/pr_contracts_master.csv,manual_file_delivery,usaspending_federal_awards_backbone,data/staging/processed/pr_contracts_master.csv,data/staging/processed/pr_contracts_master.csv,file_not_delivered,manual_source_delivery
validated:data/staging/processed/pr_doe_master.csv,validated_manifest_delivery,federal_sectoral_doe,data/staging/processed/pr_doe_master.csv,data/staging/processed/pr_doe_master.csv,file_not_delivered,physical_validated_source_delivery
manual:data/staging/processed/pr_grants_master.csv,manual_file_delivery,usaspending_federal_awards_backbone,data/staging/processed/pr_grants_master.csv,data/staging/processed/pr_grants_master.csv,file_not_delivered,manual_source_delivery
validated:data/staging/processed/pr_dot_master.csv,validated_manifest_delivery,federal_sectoral_dot,data/staging/processed/pr_dot_master.csv,data/staging/processed/pr_dot_master.csv,file_not_delivered,physical_validated_source_delivery
manual:data/staging/processed/pr_subawards_master.csv,manual_file_delivery,fsrs_subawards,data/staging/processed/pr_subawards_master.csv,data/staging/processed/pr_subawards_master.csv,file_not_delivered,manual_source_delivery
validated:data/staging/processed/pr_epa_master.csv,validated_manifest_delivery,federal_sectoral_epa,data/staging/processed/pr_epa_master.csv,data/staging/processed/pr_epa_master.csv,file_not_delivered,physical_validated_source_delivery
manual:data/staging/processed/pr_fema_pa_master.csv,manual_file_delivery,fema_pa_hmgp,data/staging/processed/pr_fema_pa_master.csv,data/staging/processed/pr_fema_pa_master.csv,file_not_delivered,manual_source_delivery
validated:data/staging/processed/pr_hud_master.csv,validated_manifest_delivery,hud_cdbg,data/staging/processed/pr_hud_master.csv,data/staging/processed/pr_hud_master.csv,file_not_delivered,physical_validated_source_delivery
manual:data/staging/processed/pr_fema_hmgp_master.csv,manual_file_delivery,fema_pa_hmgp,data/staging/processed/pr_fema_hmgp_master.csv,data/staging/processed/pr_fema_hmgp_master.csv,file_not_delivered,manual_source_delivery
validated:data/staging/processed/pr_slfrf_master.csv,validated_manifest_delivery,slfrf,data/staging/processed/pr_slfrf_master.csv,data/staging/processed/pr_slfrf_master.csv,file_not_delivered,physical_validated_source_delivery
manual:data/staging/processed/pr_research_master.csv,manual_file_delivery,federal_research,data/staging/processed/pr_research_master.csv,data/staging/processed/pr_research_master.csv,file_not_delivered,manual_source_delivery
validated:data/staging/processed/pr_usda_master.csv,validated_manifest_delivery,federal_sectoral_usda,data/staging/processed/pr_usda_master.csv,data/staging/processed/pr_usda_master.csv,file_not_delivered,physical_validated_source_delivery
manual:data/staging/processed/pr_sba_loans_master.csv,manual_file_delivery,sba_loans,data/staging/processed/pr_sba_loans_master.csv,data/staging/processed/pr_sba_loans_master.csv,file_not_delivered,manual_source_delivery
validated:data/staging/processed/pr_wioa_grants.csv,validated_manifest_delivery,federal_sectoral_wioa,data/staging/processed/pr_wioa_grants.csv,data/staging/processed/pr_wioa_grants.csv,file_not_delivered,physical_validated_source_delivery
manual:data/staging/processed/pr_cdbg_dr_master.csv,manual_file_delivery,hud_cdbg,data/staging/processed/pr_cdbg_dr_master.csv,data/staging/processed/pr_cdbg_dr_master.csv,file_not_delivered,manual_source_delivery
manual:data/staging/processed/pr_sbir_master.csv,manual_file_delivery,federal_sectoral_sbir,data/staging/processed/pr_sbir_master.csv,data/staging/processed/pr_sbir_master.csv,file_not_delivered,manual_source_delivery
manual:data/staging/processed/pr_usace_civil_master.csv,manual_file_delivery,federal_sectoral_usace,data/staging/processed/pr_usace_civil_master.csv,data/staging/processed/pr_usace_civil_master.csv,file_not_delivered,manual_source_delivery
manual:data/staging/expansion/expansion_idv_indirect_pr.csv,manual_file_delivery,usaspending_federal_awards_backbone,data/staging/expansion/expansion_idv_indirect_pr.csv,data/staging/expansion/expansion_idv_indirect_pr.csv,file_not_delivered,manual_source_delivery
manual:data/staging/expansion/expansion_dod_upr_2001_2015.csv,manual_file_delivery,usaspending_federal_awards_backbone,data/staging/expansion/expansion_dod_upr_2001_2015.csv,data/staging/expansion/expansion_dod_upr_2001_2015.csv,file_not_delivered,manual_source_delivery
manual:data/staging/expansion/expansion_dod_upr_2016_2025.csv,manual_file_delivery,usaspending_federal_awards_backbone,data/staging/expansion/expansion_dod_upr_2016_2025.csv,data/staging/expansion/expansion_dod_upr_2016_2025.csv,file_not_delivered,manual_source_delivery
manual:data/staging/expansion/expansion_reconstruction_2017_2025.csv,manual_file_delivery,usaspending_federal_awards_backbone,data/staging/expansion/expansion_reconstruction_2017_2025.csv,data/staging/expansion/expansion_reconstruction_2017_2025.csv,file_not_delivered,manual_source_delivery
