frozen_at,request_id,request_type,source_family,expected_input,target_output_path,target_dropzone_path,accepted_filename_patterns,required_columns,validation_command,blocker_class,reason_blocked,next_action,unfreeze_condition,retry_rank_hint,retry_reason_hint
2026-05-09T03:42:14Z,manual:data/staging/processed/pr_contracts_master.csv,manual_file_delivery,usaspending_federal_awards_backbone,data/staging/processed/pr_contracts_master.csv,data/staging/processed/pr_contracts_master.csv,data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_contracts_master.csv,pr_contracts_master.csv|pr_contracts_master*.csv|*.csv,contract_id|vendor_name|agency_name|award_date|obligated_amount|pop_state|source_file|fiscal_year,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_contracts_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='contract_id,vendor_name,agency_name,award_date,obligated_amount,pop_state,source_file,fiscal_year'.split(',') if 'contract_id,vendor_name,agency_name,award_date,obligated_amount,pop_state,source_file,fiscal_year' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",manual_file_required,file_not_delivered,manual_source_delivery,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_contracts_master.csv, validate schema/rows, and stage to data/staging/processed/pr_contracts_master.csv.",1,file_not_delivered
2026-05-09T03:42:14Z,validated:data/staging/processed/pr_doe_master.csv,validated_manifest_delivery,federal_sectoral_doe,data/staging/processed/pr_doe_master.csv,data/staging/processed/pr_doe_master.csv,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_doe_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",physical_validated_file_missing,file_not_delivered,physical_validated_source_delivery,Deliver the physical validated source file for data/staging/processed/pr_doe_master.csv with matching manifest-compatible hash and nonzero rows.,2,file_not_delivered
2026-05-09T03:42:14Z,manual:data/staging/processed/pr_grants_master.csv,manual_file_delivery,usaspending_federal_awards_backbone,data/staging/processed/pr_grants_master.csv,data/staging/processed/pr_grants_master.csv,data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_grants_master.csv,pr_grants_master.csv|pr_grants_master*.csv|*.csv,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_grants_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",manual_file_required,file_not_delivered,manual_source_delivery,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_grants_master.csv, validate schema/rows, and stage to data/staging/processed/pr_grants_master.csv.",3,file_not_delivered
2026-05-09T03:42:14Z,validated:data/staging/processed/pr_dot_master.csv,validated_manifest_delivery,federal_sectoral_dot,data/staging/processed/pr_dot_master.csv,data/staging/processed/pr_dot_master.csv,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_dot_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",physical_validated_file_missing,file_not_delivered,physical_validated_source_delivery,Deliver the physical validated source file for data/staging/processed/pr_dot_master.csv with matching manifest-compatible hash and nonzero rows.,4,file_not_delivered
2026-05-09T03:42:14Z,manual:data/staging/processed/pr_subawards_master.csv,manual_file_delivery,fsrs_subawards,data/staging/processed/pr_subawards_master.csv,data/staging/processed/pr_subawards_master.csv,data/manual_import_dropzone/r4_8e/fsrs_subawards/pr_subawards_master.csv,pr_subawards_master.csv|pr_subawards_master*.csv|*.csv,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_subawards_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",manual_file_required,file_not_delivered,manual_source_delivery,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/fsrs_subawards/pr_subawards_master.csv, validate schema/rows, and stage to data/staging/processed/pr_subawards_master.csv.",5,file_not_delivered
2026-05-09T03:42:14Z,validated:data/staging/processed/pr_epa_master.csv,validated_manifest_delivery,federal_sectoral_epa,data/staging/processed/pr_epa_master.csv,data/staging/processed/pr_epa_master.csv,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_epa_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",physical_validated_file_missing,file_not_delivered,physical_validated_source_delivery,Deliver the physical validated source file for data/staging/processed/pr_epa_master.csv with matching manifest-compatible hash and nonzero rows.,6,file_not_delivered
2026-05-09T03:42:14Z,manual:data/staging/processed/pr_fema_pa_master.csv,manual_file_delivery,fema_pa_hmgp,data/staging/processed/pr_fema_pa_master.csv,data/staging/processed/pr_fema_pa_master.csv,data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_pa_master.csv,pr_fema_pa_master.csv|pr_fema_pa_master*.csv|*.csv,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_fema_pa_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",manual_file_required,file_not_delivered,manual_source_delivery,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_pa_master.csv, validate schema/rows, and stage to data/staging/processed/pr_fema_pa_master.csv.",7,file_not_delivered
2026-05-09T03:42:14Z,validated:data/staging/processed/pr_hud_master.csv,validated_manifest_delivery,hud_cdbg,data/staging/processed/pr_hud_master.csv,data/staging/processed/pr_hud_master.csv,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_hud_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",physical_validated_file_missing,file_not_delivered,physical_validated_source_delivery,Deliver the physical validated source file for data/staging/processed/pr_hud_master.csv with matching manifest-compatible hash and nonzero rows.,8,file_not_delivered
2026-05-09T03:42:14Z,manual:data/staging/processed/pr_fema_hmgp_master.csv,manual_file_delivery,fema_pa_hmgp,data/staging/processed/pr_fema_hmgp_master.csv,data/staging/processed/pr_fema_hmgp_master.csv,data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_hmgp_master.csv,pr_fema_hmgp_master.csv|pr_fema_hmgp_master*.csv|*.csv,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_fema_hmgp_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",manual_file_required,file_not_delivered,manual_source_delivery,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_hmgp_master.csv, validate schema/rows, and stage to data/staging/processed/pr_fema_hmgp_master.csv.",9,file_not_delivered
2026-05-09T03:42:14Z,validated:data/staging/processed/pr_slfrf_master.csv,validated_manifest_delivery,slfrf,data/staging/processed/pr_slfrf_master.csv,data/staging/processed/pr_slfrf_master.csv,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_slfrf_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",physical_validated_file_missing,file_not_delivered,physical_validated_source_delivery,Deliver the physical validated source file for data/staging/processed/pr_slfrf_master.csv with matching manifest-compatible hash and nonzero rows.,10,file_not_delivered
